,retweetcount,has Supreme Court case-insensitive
0,5,False
1,0,False
2,592,False
3,190,False
4,0,False
5,0,False
6,3,False
7,0,False
8,0,False
9,5,False
10,1,False
11,0,False
12,1,False
13,0,False
14,190,False
15,1,False
16,1,False
17,5,False
18,0,False
19,0,False
20,0,False
21,5,False
23,2,False
24,0,False
25,343,False
26,0,False
27,0,False
28,825,False
29,0,False
30,0,False
31,2208,False
32,124,False
33,0,False
34,825,False
35,239,False
36,0,False
37,2226,False
38,0,False
39,0,False
40,0,False
41,23,False
42,5,False
43,5,False
44,1,False
45,20,False
46,257,False
47,3,False
48,0,False
49,2208,False
50,2,False
51,13,False
52,20,False
53,0,False
54,0,False
55,20,False
56,20,False
57,0,False
58,20,False
59,0,False
60,20,False
61,0,False
62,9,False
63,7,False
64,7,False
65,0,False
66,12,False
67,0,False
68,285,False
69,0,False
70,7,False
71,1,False
72,0,False
73,1,False
74,0,False
75,0,False
76,0,False
77,0,False
78,6,False
79,0,False
80,0,False
81,0,False
83,0,False
84,2226,False
85,0,False
86,0,False
87,0,False
88,1174,False
89,2,False
90,0,False
91,0,False
92,0,False
93,10,False
94,0,False
95,1,False
96,0,False
97,0,False
98,0,False
99,0,False
100,0,False
101,0,False
102,6,False
103,0,False
104,1,False
105,12,False
106,0,False
107,0,False
108,2,False
109,0,False
110,0,False
111,0,False
112,0,False
113,0,False
114,0,False
115,2226,False
116,0,False
117,0,False
118,0,False
119,6,False
120,0,False
121,1,False
122,0,False
123,0,False
124,124,False
125,3,False
126,0,False
127,12,False
128,0,False
129,6,False
130,0,False
131,6,False
132,0,False
133,3,False
134,1,False
135,592,False
136,2,False
137,257,False
138,2,False
139,285,False
140,1,False
141,1,False
142,0,False
143,0,False
144,0,False
145,3,False
146,0,False
147,3,False
148,3,False
149,2208,False
150,0,False
151,7,False
152,2,False
153,3,False
154,7,False
155,0,False
156,0,False
157,12,False
159,0,False
160,12,False
161,0,False
162,0,False
163,0,False
164,0,False
165,0,False
166,12,False
167,2,False
169,0,False
170,3,False
171,0,False
172,1,False
173,1,False
174,0,False
175,12,False
176,12,False
177,12,False
178,0,False
179,12,False
180,2208,False
181,12,False
182,12,False
183,17,False
184,0,False
185,0,False
186,0,False
187,0,False
188,0,False
189,0,False
191,0,False
192,0,False
193,6,False
194,2208,False
195,7,False
196,825,False
197,1,False
198,53,False
199,0,False
200,2208,False
201,0,False
202,1,False
203,1,False
204,0,False
205,0,False
206,0,False
207,0,False
208,1,False
209,0,False
210,0,False
211,0,False
212,825,False
213,4,False
214,0,False
215,1,False
216,0,False
217,0,False
218,1,False
219,13,False
220,0,False
221,0,False
222,0,False
223,4,False
224,7,False
225,0,False
227,0,False
228,6,False
229,14,False
230,0,False
231,12,False
232,1,False
233,14,False
234,0,False
236,1,False
237,2,False
238,0,False
239,2208,False
241,0,False
242,0,False
243,0,False
244,1,False
245,2,False
246,2,False
247,0,False
248,2,False
249,6,False
250,1,False
251,2,False
252,4,False
253,0,False
254,0,False
255,0,False
256,20,False
257,20,False
259,1,False
260,0,False
261,20,False
262,0,False
263,124,False
264,20,False
265,1,False
266,1,False
267,10,False
268,20,False
269,20,False
270,20,False
271,1,False
272,1,False
273,0,False
274,18,False
275,2,False
277,7,False
278,26,False
279,0,False
280,4,False
281,7,False
282,0,False
283,1,False
284,0,False
285,1,False
286,1,False
287,0,False
288,13,False
289,2,False
290,0,False
291,0,False
292,1,False
293,59,False
294,1,False
295,26,False
296,26,False
297,0,False
298,0,False
299,1,False
300,26,False
301,0,False
302,2,False
303,0,False
304,0,False
305,0,False
307,0,False
308,239,False
309,1,False
310,0,False
311,239,False
312,0,False
313,7,False
314,6,False
315,1,False
316,889,False
317,0,False
318,5,False
319,0,False
320,0,False
321,0,False
322,31,False
323,5,False
325,0,False
326,6,False
327,0,False
328,2,False
329,239,False
330,0,False
331,2,False
332,2,False
333,0,False
334,0,False
335,2,False
336,4,False
337,0,False
338,0,False
340,0,False
341,0,False
342,0,False
343,1,False
344,4,False
346,2226,False
347,4,False
348,0,False
349,23,False
350,1,False
351,1174,False
352,0,False
354,2,False
356,4,False
358,0,False
359,0,False
360,2,False
361,0,False
362,0,False
363,6,False
364,2,False
365,7,False
366,0,False
367,0,False
368,0,False
369,6,False
370,6,False
371,0,False
372,0,False
373,6,False
374,0,False
375,1,False
376,0,False
377,0,False
378,0,False
379,0,False
380,0,False
381,2,False
382,0,False
383,3,False
384,91,False
385,7,False
386,2,False
387,0,False
389,7,False
390,2,False
391,0,False
392,0,False
393,7,False
394,0,False
395,3,False
396,7,False
397,3,False
398,3,False
399,0,False
400,0,False
401,13,False
402,7,False
404,6,False
405,6,False
406,0,False
407,0,False
408,11,False
409,1174,False
410,1,False
411,0,False
412,0,False
413,0,False
414,2208,False
415,0,False
416,0,False
417,63,False
418,2,False
419,0,False
420,0,False
421,0,False
422,0,False
423,0,False
424,0,False
425,0,False
426,0,False
428,0,False
429,0,False
430,0,False
432,30,False
433,14,False
434,59,False
435,0,False
436,0,False
437,0,False
438,0,False
439,91,False
440,0,False
441,2,False
442,0,False
443,0,False
445,0,False
446,0,False
447,592,False
448,1,False
449,2208,False
450,0,False
451,24,False
453,2,False
454,0,False
455,0,False
456,257,False
457,0,False
458,1175,False
459,2208,False
460,1,False
461,1,False
462,2,False
463,0,False
464,53,False
465,1,False
466,0,False
467,8,False
468,0,False
469,0,False
470,67,False
471,0,False
472,6,False
473,0,False
474,1174,False
475,0,False
476,7,False
477,2208,False
478,0,False
480,6,False
481,3,False
482,0,False
483,1,False
484,0,False
485,0,False
486,29,False
487,0,False
488,1,False
489,0,False
490,0,False
491,0,False
492,0,False
494,0,False
495,17,False
496,1,False
497,2,False
498,0,False
499,2,False
500,0,False
501,14,False
502,0,False
503,14,False
504,1,False
505,17,False
506,0,False
507,1,False
508,0,False
509,0,False
510,0,False
511,17,False
512,3,False
513,0,False
514,0,False
515,9,False
516,20,False
517,10,False
518,0,False
519,0,False
520,0,False
521,13,False
522,14,False
523,14,False
524,0,False
525,11,False
526,4,False
527,0,False
528,0,False
529,0,False
530,14,False
531,10,False
532,0,False
533,0,False
534,2208,False
535,1,False
536,3,False
537,0,False
538,1,False
539,4,False
540,20,False
541,1,False
542,20,False
543,20,False
544,91,False
545,0,False
546,4,False
548,4,False
549,14,False
550,825,False
551,2208,False
552,1,False
553,14,False
554,20,False
555,0,False
556,14,False
557,6,False
558,3,False
559,14,False
560,14,False
561,0,False
562,14,False
563,0,False
564,0,False
565,0,False
566,1,False
567,20,False
568,0,False
569,4,False
570,0,False
571,17,False
572,0,False
573,0,False
574,3,False
575,17,False
576,0,False
577,29,False
578,4,False
579,0,False
580,17,False
581,0,False
582,17,False
583,0,False
584,0,False
585,0,False
586,0,False
587,0,False
588,0,False
589,17,False
590,1,False
591,6,False
592,0,False
593,6,False
594,0,False
595,1,False
596,23,False
597,0,False
598,3,False
599,7,False
600,17,False
601,3,False
602,2,False
603,3,False
604,2226,False
605,2,False
606,0,False
607,2,False
608,17,False
609,4,False
610,17,False
611,4,False
612,0,False
613,17,False
614,13,False
615,17,False
616,2,False
617,3,False
618,4,False
619,0,False
620,2,False
621,0,False
622,0,False
623,0,False
624,0,False
625,0,False
626,0,False
627,0,False
628,0,False
629,1,False
630,0,False
631,0,False
632,91,False
633,0,False
634,0,False
635,0,False
636,0,False
637,91,False
638,0,False
639,0,False
